WORDS,FREQ
0,17.0
0625em,1.0
1,4.0
10,16.0
100,2.0
12px,1.0
149px,2.0
16,2.0
192,3.0
1em,1.0
1px,1.0
2,3.0
20,2.0
200px,1.0
2015,4.0
2016,6.0
2017,2.0
2018,4.0
2019,2.0
2020,2.0
203,4.0
20px,1.0
224,18.0
240,15.0
25em,4.0
281,4.0
2em,2.0
3,1.0
33,6.0
333,1.0
40,2.0
40px,2.0
4th,2.0
5,4.0
55,2.0
58,1.0
5em,2.0
5th,3.0
6,6.0
7,4.0
74,4.0
75007,2.0
75013,2.0
8,1.0
87,2.0
875em,2.0
8th,4.0
90deg,5.0
911,1.0
<<<<<<< HEAD,0.0
=======,0.0
>>>>>>> f5d77ca6bf9ee142e8625d0da5f5140497ddd45d,0.0
ability,14.0
able,1.0
academic,10.0
acceptable,1.0
accomplishment,2.0
accuracy,1.0
achieve,1.0
acquire,2.0
across,5.0
act,2.0
activity,4.0
actor,4.0
actuarial,4.0
actuary,4.0
address,1.0
advance,3.0
advantage,2.0
affective,2.0
afraid,1.0
afterwards,1.0
agency,8.0
algorithm,6.0
algorithmic,4.0
align,2.0
allow,11.0
almost,3.0
already,2.0
also,26.0
always,11.0
among,4.0
analysis,4.0
analytical,4.0
analyze,1.0
anatomy,2.0
angry,1.0
anomaly,2.0
another,2.0
answer,3.0
anything,1.0
apart,3.0
application,16.0
apply,6.0
approach,2.0
appropriate,2.0
apps,16.0
april,2.0
argue,1.0
arial,1.0
arm,1.0
around,3.0
art,4.0
article,4.0
artist,2.0
artistry,4.0
ask,7.0
asset,4.0
assignment,1.0
assistant,2.0
attend,2.0
attention,7.0
attract,1.0
augment,1.0
august,2.0
available,13.0
aware,2.0
away,1.0
baby,3.0
bachelor,4.0
back,1.0
background,8.0
badly,1.0
band,4.0
bank,30.0
barrault,2.0
base,8.0
basic,2.0
bear,3.0
beautiful,2.0
beauty,1.0
become,5.0
bed,1.0
beginning,2.0
behind,1.0
belief,4.0
believe,11.0
benefit,2.0
best,16.0
beyond,4.0
big,4.0
bill,1.0
block,2.0
blog,4.0
body,2.0
bombing,1.0
book,2.0
border,3.0
bore,1.0
bottom,2.0
break,1.0
bring,1.0
broad,4.0
brush,1.0
build,12.0
bullet,2.0
burden,1.0
burn,1.0
c,2.0
call,9.0
calligrapher,1.0
camille,4.0
camp,4.0
candidate,5.0
car,2.0
career,16.0
carry,1.0
case,8.0
catch,1.0
cause,1.0
center,3.0
ch,2.0
challenge,4.0
challenging,4.0
chance,4.0
charge,18.0
charlotte,4.0
choice,1.0
choose,2.0
christie,1.0
city,4.0
clarification,2.0
class,20.0
classmate,1.0
classroom,8.0
client,4.0
clinical,2.0
close,1.0
closely,4.0
cloud,1.0
cluster,2.0
cnn,4.0
code,8.0
collection,1.0
color,4.0
com,6.0
combine,10.0
come,5.0
commit,1.0
committee,2.0
companionship,1.0
company,6.0
compare,1.0
comparison,2.0
competition,2.0
competitive,4.0
competitiveness,4.0
complete,4.0
completeness,1.0
complex,1.0
comprehension,1.0
computer,14.0
computing,2.0
conception,4.0
concise,2.0
condition,1.0
confident,1.0
confront,2.0
consensus,4.0
consider,19.0
consistency,4.0
consistently,4.0
constant,4.0
constantly,2.0
consume,1.0
contact,6.0
contain,2.0
content,4.0
continent,4.0
convince,4.0
cope,4.0
